location,location_name
R1,High-income Asia Pacific
R10,Western Europe
R11,Andean Latin America
R12,Central Latin America
R13,Southern Latin America
R14,Tropical Latin America
R15,North Africa and Middle East
R16,High-income North America
R17,Oceania
R18,Central Sub-Saharan Africa
R19,Eastern Sub-Saharan Africa
R2,Central Asia
R20,Southern Sub-Saharan Africa
R21,Western Sub-Saharan Africa
R3,East Asia
R4,South Asia
R5,Southeast Asia
R6,Australasia
R7,Caribbean
R8,Central Europe
R9,Eastern Europe
S1,High-income
S2,"Central Europe, Eastern Europe, and Central Asia"
S3,Sub-Saharan Africa
S4,North Africa and Middle East
S5,South Asia
S6,"Southeast Asia, East Asia, and Oceania"
S7,Latin America and Caribbean
